Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
0.002976	0.139134  	0.129355  	0.109707  	0.109707  	0.00563422	0.00563422	0.00043716	0.000699534	0.000320872
0.002978	0.139215  	0.129427  	0.10977   	0.10977   	0.00563472	0.00563472	0.000437532	0.000700116	0.000321152
0.002981	0.139295  	0.129498  	0.109833  	0.109833  	0.00563521	0.00563521	0.000437903	0.000700698	0.000321432
0.002983	0.139376  	0.12957   	0.109896  	0.109896  	0.00563571	0.00563571	0.000438275	0.00070128	0.000321712
0.002985	0.139456  	0.129642  	0.109959  	0.109959  	0.00563621	0.00563621	0.000438646	0.000701861	0.000321992
0.002987	0.139536  	0.129714  	0.110022  	0.110022  	0.0056367 	0.0056367 	0.000439018	0.000702443	0.000322272
0.002989	0.139617  	0.129785  	0.110085  	0.110085  	0.0056372 	0.0056372 	0.000439389	0.000703025	0.000322552
0.002991	0.139697  	0.129857  	0.110148  	0.110148  	0.00563769	0.00563769	0.000439761	0.000703607	0.000322832
0.002994	0.139777  	0.129929  	0.110211  	0.110211  	0.00563819	0.00563819	0.000440132	0.000704189	0.000323112
0.002996	0.139858  	0.13      	0.110274  	0.110274  	0.00563869	0.00563869	0.000440504	0.000704771	0.000323392
0.002998	0.139938  	0.130072  	0.110336  	0.110336  	0.00563918	0.00563918	0.000440875	0.000705353	0.000323672
0.003000	0.140018  	0.130144  	0.110399  	0.110399  	0.00563968	0.00563968	0.000441247	0.000705935	0.000323952
0.003002	0.140099  	0.130215  	0.110462  	0.110462  	0.00564017	0.00564017	0.000441618	0.000706517	0.000324232
