 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 16, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Aluminum

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 180.00 MeV   4.165E-02  1.818E-05    8.95 mm   330.67 um   175.81 um  
 200.00 MeV   3.837E-02  1.651E-05   10.80 mm   424.04 um   210.86 um  
 225.00 MeV   3.502E-02  1.483E-05   13.32 mm   557.07 um   258.34 um  
 250.00 MeV   3.229E-02  1.347E-05   16.07 mm   682.45 um   309.73 um  
 275.00 MeV   3.002E-02  1.235E-05   19.04 mm   804.63 um   364.88 um  
 300.00 MeV   2.810E-02  1.140E-05   22.23 mm   925.55 um   423.62 um  
 325.00 MeV   2.646E-02  1.060E-05   25.62 mm     1.05 mm   485.83 um  
 350.00 MeV   2.503E-02  9.903E-06   29.21 mm     1.17 mm   551.38 um  
 375.00 MeV   2.378E-02  9.297E-06   33.00 mm     1.29 mm   620.14 um  
 400.00 MeV   2.268E-02  8.763E-06   36.98 mm     1.41 mm   692.00 um  
 450.00 MeV   2.083E-02  7.866E-06   45.49 mm     1.86 mm   844.65 um  
 500.00 MeV   1.932E-02  7.141E-06   54.71 mm     2.28 mm     1.01 mm  
 550.00 MeV   1.807E-02  6.542E-06   64.61 mm     2.69 mm     1.18 mm  
 600.00 MeV   1.702E-02  6.040E-06   75.15 mm     3.08 mm     1.37 mm  
 650.00 MeV   1.612E-02  5.611E-06   86.32 mm     3.47 mm     1.56 mm  
 700.00 MeV   1.535E-02  5.241E-06   98.07 mm     3.86 mm     1.76 mm  
 800.00 MeV   1.408E-02  4.635E-06  123.23 mm     5.27 mm     2.19 mm  
 900.00 MeV   1.309E-02  4.158E-06  150.48 mm     6.55 mm     2.65 mm  
   1.00 GeV   1.228E-02  3.773E-06  179.66 mm     7.76 mm     3.13 mm  
   1.10 GeV   1.162E-02  3.455E-06  210.61 mm     8.94 mm     3.63 mm  
   1.20 GeV   1.107E-02  3.189E-06  243.22 mm    10.08 mm     4.15 mm  
   1.30 GeV   1.061E-02  2.961E-06  277.35 mm    11.20 mm     4.69 mm  
   1.40 GeV   1.021E-02  2.765E-06  312.90 mm    12.30 mm     5.25 mm  
   1.50 GeV   9.860E-03  2.594E-06  349.77 mm    13.39 mm     5.82 mm  
   1.60 GeV   9.558E-03  2.444E-06  387.87 mm    14.46 mm     6.40 mm  
