 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 16, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Boron

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  2.3502E+00 g/cm3 = 1.3091E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      B      5    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   5.50 MeV   7.179E-01  4.212E-04   20.69 um     7912 A      3391 A   
   6.00 MeV   6.719E-01  3.900E-04   23.75 um     9058 A      3788 A   
   6.50 MeV   6.316E-01  3.634E-04   27.01 um     1.02 um     4212 A   
   7.00 MeV   5.961E-01  3.403E-04   30.48 um     1.14 um     4662 A   
   8.00 MeV   5.363E-01  3.023E-04   38.00 um     1.56 um     5639 A   
   9.00 MeV   4.943E-01  2.722E-04   46.26 um     1.96 um     6711 A   
  10.00 MeV   4.551E-01  2.479E-04   55.23 um     2.34 um     7871 A   
  11.00 MeV   4.237E-01  2.277E-04   64.91 um     2.72 um     9119 A   
  12.00 MeV   3.968E-01  2.107E-04   75.28 um     3.10 um     1.05 um  
  13.00 MeV   3.733E-01  1.961E-04   86.33 um     3.49 um     1.19 um  
  14.00 MeV   3.527E-01  1.835E-04   98.06 um     3.87 um     1.34 um  
  15.00 MeV   3.344E-01  1.726E-04  110.44 um     4.26 um     1.49 um  
  16.00 MeV   3.181E-01  1.629E-04  123.48 um     4.66 um     1.66 um  
  17.00 MeV   3.034E-01  1.542E-04  137.17 um     5.06 um     1.83 um  
  18.00 MeV   2.901E-01  1.465E-04  151.51 um     5.46 um     2.01 um  
  20.00 MeV   2.670E-01  1.333E-04  182.07 um     6.99 um     2.39 um  
  22.50 MeV   2.433E-01  1.199E-04  223.79 um     9.19 um     2.91 um  
