 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 16, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Phosphorus

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.8219E+00 g/cm3 = 3.5422E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      P     15    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   2.00 GeV   8.652E-03  1.987E-06  817.78 mm    30.31 mm    14.05 mm  
   2.25 GeV   8.260E-03  1.781E-06  980.04 mm    38.12 mm    16.54 mm  
   2.50 GeV   7.952E-03  1.616E-06    1.15 m     45.12 mm    19.07 mm  
   2.75 GeV   7.705E-03  1.479E-06    1.32 m     51.58 mm    21.63 mm  
   3.00 GeV   7.505E-03  1.364E-06    1.50 m     57.64 mm    24.20 mm  
   3.25 GeV   7.340E-03  1.267E-06    1.69 m     63.39 mm    26.77 mm  
   3.50 GeV   7.203E-03  1.182E-06    1.88 m     68.88 mm    29.33 mm  
   3.75 GeV   7.088E-03  1.109E-06    2.07 m     74.14 mm    31.89 mm  
   4.00 GeV   6.991E-03  1.044E-06    2.27 m     79.20 mm    34.43 mm  
   4.50 GeV   6.839E-03  9.361E-07    2.66 m     97.24 mm    39.45 mm  
   5.00 GeV   6.727E-03  8.487E-07    3.07 m    112.98 mm    44.38 mm  
   5.50 GeV   6.644E-03  7.767E-07    3.48 m    127.17 mm    49.20 mm  
   6.00 GeV   6.583E-03  7.162E-07    3.89 m    140.21 mm    53.92 mm  
   6.50 GeV   6.538E-03  6.648E-07    4.31 m    152.32 mm    58.52 mm  
   7.00 GeV   6.505E-03  6.204E-07    4.73 m    163.67 mm    63.00 mm  
   8.00 GeV   6.465E-03  5.478E-07    5.58 m    202.98 mm    71.65 mm  
   9.00 GeV   6.449E-03  4.908E-07    6.43 m    236.11 mm    79.87 mm  
  10.00 GeV   6.448E-03  4.448E-07    7.28 m    265.21 mm    87.71 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.8218E+01                 eV / Angstrom 
  1.8218E+02                keV / micron   
  1.8218E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  5.1433E+01                 eV / (1E15 atoms/cm2)
  4.9028E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
