 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 16, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Si- O

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.7244E+00 g/cm3 = 5.1850E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    033.33    046.74   
      O      8    066.67    053.26   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  32.50 MeV   1.756E-01  9.359E-05  615.22 um    24.84 um    12.02 um  
  35.00 MeV   1.658E-01  8.757E-05  700.11 um    27.73 um    13.59 um  
  37.50 MeV   1.570E-01  8.231E-05  789.88 um    30.64 um    15.24 um  
  40.00 MeV   1.493E-01  7.768E-05  884.49 um    33.59 um    16.98 um  
  45.00 MeV   1.360E-01  6.987E-05    1.09 mm    44.50 um    20.69 um  
  50.00 MeV   1.251E-01  6.355E-05    1.31 mm    54.77 um    24.73 um  
  55.00 MeV   1.160E-01  5.832E-05    1.55 mm    64.79 um    29.07 um  
  60.00 MeV   1.083E-01  5.391E-05    1.81 mm    74.73 um    33.72 um  
  65.00 MeV   1.016E-01  5.015E-05    2.09 mm    84.70 um    38.67 um  
  70.00 MeV   9.574E-02  4.690E-05    2.38 mm    94.74 um    43.91 um  
  80.00 MeV   8.605E-02  4.157E-05    3.02 mm   131.62 um    55.24 um  
  90.00 MeV   7.832E-02  3.736E-05    3.72 mm   165.98 um    67.70 um  
 100.00 MeV   7.199E-02  3.395E-05    4.50 mm   199.50 um    81.23 um  
 110.00 MeV   6.670E-02  3.114E-05    5.33 mm   232.84 um    95.82 um  
 120.00 MeV   6.223E-02  2.877E-05    6.23 mm   266.32 um   111.44 um  
 130.00 MeV   5.838E-02  2.675E-05    7.19 mm   300.10 um   128.06 um  
 140.00 MeV   5.503E-02  2.501E-05    8.22 mm   334.29 um   145.67 um  
 150.00 MeV   5.209E-02  2.349E-05    9.30 mm   368.92 um   164.23 um  
 160.00 MeV   4.949E-02  2.215E-05   10.44 mm   404.02 um   183.74 um  
 170.00 MeV   4.717E-02  2.095E-05   11.64 mm   439.61 um   204.17 um  
 180.00 MeV   4.509E-02  1.989E-05   12.89 mm   475.70 um   225.51 um  
 200.00 MeV   4.150E-02  1.807E-05   15.57 mm   611.07 um   270.85 um  
 225.00 MeV   3.785E-02  1.622E-05   19.23 mm   804.02 um   332.34 um  
 250.00 MeV   3.488E-02  1.473E-05   23.22 mm   985.87 um   398.96 um  
 275.00 MeV   3.241E-02  1.350E-05   27.53 mm     1.16 mm   470.52 um  
 300.00 MeV   3.032E-02  1.247E-05   32.15 mm     1.34 mm   546.81 um  
 325.00 MeV   2.853E-02  1.159E-05   37.08 mm     1.51 mm   627.66 um  
 350.00 MeV   2.699E-02  1.083E-05   42.30 mm     1.69 mm   712.91 um  
 375.00 MeV   2.563E-02  1.016E-05   47.81 mm     1.87 mm   802.38 um  
 400.00 MeV   2.444E-02  9.578E-06   53.60 mm     2.04 mm   895.94 um  
 450.00 MeV   2.243E-02  8.596E-06   65.98 mm     2.70 mm     1.09 mm  
 500.00 MeV   2.079E-02  7.802E-06   79.40 mm     3.31 mm     1.31 mm  
 550.00 MeV   1.944E-02  7.147E-06   93.81 mm     3.90 mm     1.54 mm  
 600.00 MeV   1.831E-02  6.597E-06  109.17 mm     4.48 mm     1.78 mm  
 650.00 MeV   1.734E-02  6.128E-06  125.44 mm     5.05 mm     2.03 mm  
 700.00 MeV   1.650E-02  5.724E-06  142.57 mm     5.61 mm     2.29 mm  
 800.00 MeV   1.513E-02  5.061E-06  179.26 mm     7.67 mm     2.85 mm  
 900.00 MeV   1.406E-02  4.540E-06  219.00 mm     9.53 mm     3.45 mm  
   1.00 GeV   1.319E-02  4.119E-06  261.57 mm    11.30 mm     4.08 mm  
   1.10 GeV   1.248E-02  3.771E-06  306.75 mm    13.01 mm     4.74 mm  
   1.20 GeV   1.189E-02  3.480E-06  354.34 mm    14.68 mm     5.42 mm  
   1.30 GeV   1.138E-02  3.232E-06  404.17 mm    16.31 mm     6.13 mm  
   1.40 GeV   1.095E-02  3.017E-06  456.08 mm    17.92 mm     6.86 mm  
   1.50 GeV   1.058E-02  2.831E-06  509.93 mm    19.50 mm     7.61 mm  
   1.60 GeV   1.026E-02  2.666E-06  565.58 mm    21.07 mm     8.37 mm  
   1.70 GeV   9.969E-03  2.521E-06  622.91 mm    22.61 mm     9.15 mm  
   1.80 GeV   9.716E-03  2.391E-06  681.80 mm    24.13 mm     9.93 mm  
   2.00 GeV   9.289E-03  2.168E-06  803.86 mm    29.74 mm    11.54 mm  
   2.25 GeV   8.868E-03  1.944E-06  963.56 mm    37.42 mm    13.60 mm  
   2.50 GeV   8.537E-03  1.762E-06    1.13 m     44.29 mm    15.68 mm  
   2.75 GeV   8.273E-03  1.613E-06    1.30 m     50.64 mm    17.79 mm  
   3.00 GeV   8.059E-03  1.488E-06    1.48 m     56.59 mm    19.91 mm  
   3.25 GeV   7.883E-03  1.381E-06    1.66 m     62.24 mm    22.02 mm  
   3.50 GeV   7.737E-03  1.289E-06    1.85 m     67.62 mm    24.14 mm  
   3.75 GeV   7.615E-03  1.209E-06    2.04 m     72.78 mm    26.24 mm  
   4.00 GeV   7.512E-03  1.138E-06    2.23 m     77.73 mm    28.34 mm  
   4.50 GeV   7.351E-03  1.020E-06    2.62 m     95.45 mm    32.47 mm  
   5.00 GeV   7.233E-03  9.247E-07    3.02 m    110.90 mm    36.53 mm  
   5.50 GeV   7.147E-03  8.461E-07    3.42 m    124.81 mm    40.49 mm  
   6.00 GeV   7.084E-03  7.801E-07    3.83 m    137.58 mm    44.37 mm  
   6.50 GeV   7.038E-03  7.240E-07    4.24 m    149.44 mm    48.15 mm  
   7.00 GeV   7.005E-03  6.756E-07    4.65 m    160.55 mm    51.83 mm  
   8.00 GeV   6.967E-03  5.963E-07    5.48 m    199.04 mm    58.93 mm  
   9.00 GeV   6.954E-03  5.342E-07    6.31 m    231.44 mm    65.67 mm  
  10.00 GeV   6.958E-03  4.841E-07    7.15 m    259.87 mm    72.10 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.7243E+01                 eV / Angstrom 
  1.7243E+02                keV / micron   
  1.7243E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  3.3256E+01                 eV / (1E15 atoms/cm2)
  2.9443E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
